BlueWizard: .word 16, 16
.byte 199,199,199,199,199,199,199,199,0,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,0,236,0,199,199,199,199,199,199,
199,199,199,199,199,199,199,0,235,0,0,199,199,199,199,199,
199,199,199,199,199,199,0,235,236,235,0,199,199,199,199,199,
199,199,199,199,199,199,0,235,236,235,0,0,0,0,0,199,
199,0,199,199,199,199,0,236,234,233,235,235,236,226,0,199,
0,11,0,199,0,0,235,234,233,235,152,236,226,0,199,199,
0,239,0,0,152,226,152,152,152,152,152,152,0,199,199,199,
0,206,0,0,0,0,144,74,166,166,74,0,199,199,199,199,
0,10,10,0,199,0,152,183,183,183,183,144,0,0,199,199,
0,10,11,10,0,233,152,152,183,183,152,226,233,235,0,199,
199,0,10,11,10,226,226,233,152,152,226,226,233,233,226,0,
199,199,0,10,183,10,236,152,234,226,233,233,183,235,233,0,
199,199,0,152,166,10,226,236,236,236,226,226,166,233,152,0,
199,199,0,235,152,152,10,226,233,236,233,226,235,226,0,199,
199,199,199,0,0,0,0,0,0,0,0,0,0,0,199,199,


